id,image_name,MAE_value,pixel_count,cropmark_median,cropmark_min,cropmark_max,cropmark_std,percentile_rank,min_max_rank,layer_valid_pixels,layer_mean,layer_median,layer_min,layer_p90,layer_p95,layer_max,layer_std,stats_source,cropmark,replant_2024,is_detected_with_natural_color,comments,derived_product_name,replant_2025
5,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.053977012634277,208,12.034894943237305,11.940052032470703,12.276018142700195,0.09036357700824738,0.16879376387558928,0.22376478443975037,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
6,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.415462493896484,591,12.382962226867676,12.239034652709961,12.664528846740723,0.13877950608730316,0.4457103176971083,0.2761539846226789,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
7,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.699902534484863,98,12.705109596252441,12.64684772491455,12.725273132324219,0.020500099286437035,0.6462271619547141,0.31737717891084977,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,1
8,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.75347900390625,92,12.765202522277832,12.67562198638916,12.806885719299316,0.0362810418009758,0.67336895709678,0.3251418846240942,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,1
9,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.213435173034668,284,12.223772048950195,12.025522232055664,12.336743354797363,0.07173442840576172,0.2783714498869593,0.24687466275864756,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,SR,0
10,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.310663223266602,70,12.279386520385742,12.25693416595459,12.475556373596191,0.05917326360940933,0.3578119118324707,0.2609656845313916,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,NDSI,0
11,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.347448348999023,21,12.349461555480957,12.263718605041504,12.434601783752441,0.052384644746780396,0.38864215930537566,0.2662968621737715,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,NDSI,0
12,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.756850242614746,171,12.7993803024292,12.499606132507324,12.890826225280762,0.12304100394248962,0.6749651676665153,0.3256304699441661,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,0,,MTVI,0
13,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.317859649658203,109,12.3151216506958,12.102875709533691,12.497045516967773,0.09980709105730057,0.3638384359448334,0.26200864487800046,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,PCA_COMB22,0
14,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,11.988988876342773,30,11.985424041748047,11.93956470489502,12.058722496032715,0.03293464332818985,0.13385660991078657,0.2143462139627208,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,0,,TCARI_OSAVI,0
